Start Date,End Date,"To what extent do you agree with the following statement? If a person has difficulty with speech, it means they also have intellectual deficiencies",Is it common for a person who has had a stroke or brain injury to have difficulties with speech and communication?,Have you ever heard the term aphasia?,"In your own words, how does aphasia affect the afflicted person",Which of the following best describes aphasia?,"If you can recall, where do you think you first heard about aphasia?",,Have you ever been diagnosed with aphasia?,How long ago were you diagnosed with aphasia?,"Besides yourself, do you know someone who has been diagnosed with aphasia?",Do you know someone who has been diagnosed with aphasia?,Which of the following are causes of aphasia? (select all that apply),,,,,"In the past year, how many times have you seen or heard mention of aphasia in a newspaper or magazine (paper or online), on TV, or on the radio?",Where was the last place you recall reading or hearing about aphasia?,Region,Household Income,Device Type,Age,Gender
4/20/22 21:38,4/20/22 21:39,somewhat disagree,Yes,Yes,I don’t even know what that means,A heart condition,From a family member or friend,,Yes,More than 3 years ago,Yes,,Stroke,Brain tumor,,,,3-Jan,I never heard it before,South Atlantic,"$10,000-$24,999",iOS Phone / Tablet,18-29,Male
4/20/22 21:38,4/20/22 21:38,strongly disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$25,000-$49,999",iOS Phone / Tablet,45-60,Female
4/20/22 21:34,4/20/22 21:34,neutral,Yes,No,,,,,,,,,,,,,,,,West South Central,"$0-$9,999",Android Phone / Tablet,45-60,Male
4/20/22 21:28,4/20/22 21:28,neutral,No,No,,,,,,,,,,,,,,,,Pacific,"$25,000-$49,999",iOS Phone / Tablet,18-29,Male
4/20/22 21:27,4/20/22 21:27,strongly disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 21:23,4/20/22 21:25,strongly disagree,Yes,Yes,They are unable to communicate effectively.,A language disorder,I don't recall,,No,,,No,Stroke,,,,,None,I do not remember.,East South Central,"$0-$9,999",MacOS Desktop / Laptop,45-60,Male
4/20/22 21:19,4/20/22 21:24,strongly disagree,No,Yes,Makes it difficult for that person to communicate with others.,A language disorder,From a family member or friend,,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,A magazine article,Mountain,"$25,000-$49,999",Other,45-60,Male
4/20/22 21:19,4/20/22 21:20,somewhat disagree,Yes,Yes,"I have no idea, but I’ve heard the term.",I’m not sure,I don't recall,,No,,,I don't know,Stroke,,,,I'm not sure,None,No idea,Pacific,"$200,000+",iOS Phone / Tablet,45-60,Male
4/20/22 21:15,4/20/22 21:19,strongly disagree,Yes,Yes,ability to speak and understand,A language disorder,Other (please specify),school,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,I'm not sure,3-Jan,bruce Willis on the news,East South Central,Prefer not to answer,Android Phone / Tablet,45-60,Male
4/20/22 21:11,4/20/22 21:13,strongly disagree,Yes,Yes,it disrupt the path between brain and mouth,I’m not sure,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,6-Apr,I don't recall,South Atlantic,"$50,000-$74,999",Android Phone / Tablet,45-60,Male
4/20/22 21:09,4/20/22 21:13,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East South Central,"$25,000-$49,999",Android Phone / Tablet,45-60,Female
4/20/22 21:11,4/20/22 21:11,neutral,Yes,No,,,,,,,,,,,,,,,,Pacific,"$0-$9,999",Android Phone / Tablet,18-29,Male
4/20/22 21:06,4/20/22 21:11,neutral,Yes,Yes,The person's ability to either speak or understand speech is compromised.,I’m not sure,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,College alumni newsletter,Pacific,Prefer not to answer,MacOS Desktop / Laptop,45-60,Male
4/20/22 20:57,4/20/22 21:07,strongly disagree,Yes,Yes,"hard for a person to communicate, absences of verbal communication",A circulatory condition,Other (please specify),nursing school,No,,,Yes,,Brain tumor,,,,3-Jan,"Teaching each semester, medical terminology",West South Central,"$100,000-$124,999",Windows Desktop / Laptop,45-60,Male
4/20/22 21:02,4/20/22 21:04,strongly disagree,Yes,Yes,Someone with Aphasia has a difficult time forming words. They know exactly what they wanna say. but articulating it is difficult.,A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,TV,Pacific,"$75,000-$99,999",Android Phone / Tablet,45-60,Male
4/20/22 21:02,4/20/22 21:03,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$100,000-$124,999",iOS Phone / Tablet,18-29,Male
4/20/22 21:00,4/20/22 21:02,neutral,Yes,Yes,It affects motor skills and speach,I’m not sure,"In a newspaper, magazine or online publication",,No,,,No,,,,,I'm not sure,3-Jan,Facebook,Mountain,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 20:58,4/20/22 20:58,strongly disagree,No,No,,,,,,,,,,,,,,,,East North Central,"$125,000-$149,999",Android Phone / Tablet,18-29,Male
4/20/22 20:55,4/20/22 20:55,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West South Central,"$10,000-$24,999",Android Phone / Tablet,45-60,Female
4/20/22 20:54,4/20/22 20:54,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West South Central,"$150,000-$174,999",Android Phone / Tablet,45-60,Male
4/20/22 20:50,4/20/22 20:51,somewhat agree,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 20:45,4/20/22 20:48,somewhat agree,Yes,Yes,freedom to speak,A spinal condition,From a family member or friend,,Yes,2 - 3 years,Yes,,Stroke,,Traumatic brain injury,,,6-Apr,ethernet,Pacific,"$75,000-$99,999",Android Phone / Tablet,30-44,Male
4/20/22 20:47,4/20/22 20:47,strongly disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,"$200,000+",iOS Phone / Tablet,45-60,Male
4/20/22 20:43,4/20/22 20:46,neutral,Yes,Yes,Inability to follow others conversations,A language disorder,From a doctor,,No,,,No,,Brain tumor,Traumatic brain injury,,,3-Jan,Facebook,Middle Atlantic,"$100,000-$124,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:46,4/20/22 20:46,neutral,No,No,,,,,,,,,,,,,,,,Middle Atlantic,"$75,000-$99,999",Android Phone / Tablet,30-44,Male
4/20/22 20:44,4/20/22 20:45,somewhat agree,Yes,Yes,the brain,A language disorder,From a doctor,,Yes,1 - 2 years,Yes,,,Brain tumor,Traumatic brain injury,Heart Disease,,9-Jul,Hospital,South Atlantic,"$200,000+",Android Phone / Tablet,30-44,Male
4/20/22 20:43,4/20/22 20:45,somewhat disagree,Yes,Yes,"not sure, but I have heard the word before",None of the above,I don't recall,,No,,,I don't know,,,,,I'm not sure,6-Apr,this survey,East South Central,Prefer not to answer,Android Phone / Tablet,30-44,Male
4/20/22 20:43,4/20/22 20:44,neutral,Yes,No,,,,,,,,,,,,,,,,Pacific,"$50,000-$74,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:43,4/20/22 20:44,strongly disagree,Yes,Yes,,,,,,,,,,,,,,,,,,,,
4/20/22 20:43,4/20/22 20:44,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$150,000-$174,999",Android Phone / Tablet,30-44,Male
4/20/22 20:42,4/20/22 20:43,strongly disagree,Yes,Yes,It affects their speaking ability.,A language disorder,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,On tv cnn.,Middle Atlantic,"$75,000-$99,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:43,4/20/22 20:43,strongly disagree,Yes,No,,,,,,,,,,,,,,,,South Atlantic,Prefer not to answer,Android Phone / Tablet,30-44,Male
4/20/22 20:43,4/20/22 20:43,neutral,I don't know,No,,,,,,,,,,,,,,,,East North Central,"$0-$9,999",iOS Phone / Tablet,18-29,Male
4/20/22 20:41,4/20/22 20:41,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$25,000-$49,999",Android Phone / Tablet,18-29,Male
4/20/22 20:40,4/20/22 20:41,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$50,000-$74,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:40,4/20/22 20:40,somewhat disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$150,000-$174,999",iOS Phone / Tablet,45-60,Male
4/20/22 20:38,4/20/22 20:40,strongly disagree,Yes,Yes,they have trouble retrieving words,None of the above,Other (please specify),college studying linguistics,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,articles about Bruce willis,East North Central,"$75,000-$99,999",Android Phone / Tablet,45-60,Female
4/20/22 20:36,4/20/22 20:37,neutral,Yes,Yes,Lost air,A circulatory condition,From a doctor,,No,,,Yes,,,,,I'm not sure,3-Jan,News,East North Central,"$50,000-$74,999",iOS Phone / Tablet,45-60,Female
4/20/22 20:36,4/20/22 20:37,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$75,000-$99,999",MacOS Desktop / Laptop,45-60,Male
4/20/22 20:33,4/20/22 20:34,strongly disagree,Yes,Yes,Their ability to communicate,A language disorder,I don't recall,,No,,,I don't know,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Newspaper most likely,Middle Atlantic,"$50,000-$74,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:32,4/20/22 20:34,strongly disagree,Yes,Yes,difficulty communicating,A language disorder,I don't recall,,No,,,No,,,,,I'm not sure,None,magazine article,Mountain,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 20:33,4/20/22 20:34,somewhat disagree,Yes,Yes,can't think of or form words,A language disorder,On TV or in a movie,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,medical show on TV,East North Central,"$75,000-$99,999",MacOS Desktop / Laptop,45-60,Female
4/20/22 20:33,4/20/22 20:34,strongly disagree,I don't know,No,,,,,,,,,,,,,,,,East North Central,"$200,000+",iOS Phone / Tablet,30-44,Male
4/20/22 20:27,4/20/22 20:33,strongly disagree,Yes,Yes,Difficulty speaking,A language disorder,From a doctor,,No,,,No,Stroke,,,,,6-Apr,News,Pacific,"$50,000-$74,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:29,4/20/22 20:30,somewhat disagree,No,No,,,,,,,,,,,,,,,,Middle Atlantic,"$25,000-$49,999",iOS Phone / Tablet,45-60,Female
4/20/22 20:27,4/20/22 20:28,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West South Central,"$50,000-$74,999",iOS Phone / Tablet,45-60,Male
4/20/22 20:28,4/20/22 20:28,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Mountain,"$200,000+",Windows Desktop / Laptop,45-60,Female
4/20/22 20:21,4/20/22 20:27,strongly disagree,No,Yes,Communication deficit which involves ability to recognize and process spoken word to and or from oneself. Even if the concept is known and understood. ,A language disorder,Other (please specify),Career related ,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,Bruce Willis Dx being publicized. ,East North Central,"$200,000+",iOS Phone / Tablet,45-60,Male
4/20/22 20:25,4/20/22 20:27,strongly disagree,Yes,Yes,Unsure totally but seems to affect the brain and neurological,A circulatory condition,"In a newspaper, magazine or online publication",,No,,,No,,,,,I'm not sure,10 or more,Yahoo news,East North Central,"$75,000-$99,999",iOS Phone / Tablet,45-60,Female
4/20/22 20:24,4/20/22 20:26,strongly disagree,Yes,Yes,It is a language disorder which interferes with communication.,A language disorder,Other (please specify),I am an audiologist and part of my undergraduate degree was done in speech pathology.,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,TV and news articles about Bruce Willis,Pacific,"$100,000-$124,999",iOS Phone / Tablet,45-60,Female
4/20/22 20:24,4/20/22 20:25,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,Prefer not to answer,iOS Phone / Tablet,18-29,Male
4/20/22 20:23,4/20/22 20:24,somewhat agree,Yes,Yes,Disability,A circulatory condition,"In a newspaper, magazine or online publication",,Yes,1 - 2 years,No,,Stroke,,,,,6-Apr,In a movie,Pacific,"$150,000-$174,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:20,4/20/22 20:21,strongly disagree,Yes,No,,,,,,,,,,,,,,,,New England,"$25,000-$49,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:21,4/20/22 20:21,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$10,000-$24,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:17,4/20/22 20:21,strongly disagree,Yes,Yes,their ability to understand what someone is saying is diminished,A language disorder,"In a newspaper, magazine or online publication",,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,,,10 or more,Bruce Willis retirement announcement,West South Central,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 20:20,4/20/22 20:20,strongly disagree,Yes,No,,,,,,,,,,,,,,,,East North Central,"$150,000-$174,999",iOS Phone / Tablet,18-29,Male
4/20/22 20:19,4/20/22 20:20,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West North Central,"$10,000-$24,999",Android Phone / Tablet,45-60,Female
4/20/22 20:19,4/20/22 20:20,somewhat disagree,No,Yes,Na,A heart condition,From a doctor,,No,,,No,Stroke,,,,,3-Jan,Na,East North Central,"$25,000-$49,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:16,4/20/22 20:18,somewhat disagree,Yes,Yes,They are frustrated because they know they are not communicating well.,A language disorder,From a doctor,,No,,,Yes,Stroke,Brain tumor,Traumatic brain injury,Heart Disease,,6-Apr,In the hospital,Middle Atlantic,"$75,000-$99,999",Android Phone / Tablet,45-60,Female
4/20/22 20:17,4/20/22 20:18,strongly agree,No,No,,,,,,,,,,,,,,,,South Atlantic,"$10,000-$24,999",Android Phone / Tablet,30-44,Male
4/20/22 20:13,4/20/22 20:14,somewhat disagree,Yes,Yes,It can act as a barrier to speech for the person.,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Bruce Willis being diagnosed with aphasia.,Mountain,"$25,000-$49,999",Android Phone / Tablet,45-60,Male
4/20/22 20:13,4/20/22 20:14,strongly disagree,Yes,No,,,,,,,,,,,,,,,,West South Central,"$25,000-$49,999",Android Phone / Tablet,45-60,Female
4/20/22 20:10,4/20/22 20:13,somewhat agree,No,Yes,It affects people ability to understand people,A language disorder,From a doctor,,No,,,No,Stroke,Brain tumor,,,,3-Jan,Doctor,South Atlantic,"$50,000-$74,999",iOS Phone / Tablet,18-29,Male
4/20/22 20:12,4/20/22 20:12,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Pacific,"$50,000-$74,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:11,4/20/22 20:12,strongly disagree,I don't know,Yes,something with hair,I’m not sure,I don't recall,,No,,,I don't know,,,,,I'm not sure,3-Jan,Facebook,Pacific,"$25,000-$49,999",Android Phone / Tablet,30-44,Male
4/20/22 20:11,4/20/22 20:11,neutral,Yes,Yes,none,A heart condition,From a doctor,,No,,,Yes,,Brain tumor,,,,6-Apr,none,Pacific,"$50,000-$74,999",Android Phone / Tablet,45-60,Male
4/20/22 20:09,4/20/22 20:11,somewhat disagree,Yes,Yes,Not really sure just know that Will Smith's wife was mentioned having it. ,None of the above,On TV or in a movie,,No,,,No,,,,,I'm not sure,3-Jan,Tampa Bay Times,South Atlantic,"$100,000-$124,999",MacOS Desktop / Laptop,45-60,Female
4/20/22 20:09,4/20/22 20:11,strongly disagree,Yes,Yes,Communication difficulties,A language disorder,I don't recall,,No,,,I don't know,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Not sure,Middle Atlantic,"$100,000-$124,999",Android Phone / Tablet,30-44,Male
4/20/22 20:09,4/20/22 20:10,strongly disagree,Yes,No,,,,,,,,,,,,,,,,Middle Atlantic,"$100,000-$124,999",Windows Desktop / Laptop,45-60,Female
4/20/22 19:38,4/20/22 20:09,strongly disagree,Yes,Yes,A language disorder,A language disorder,From a family member or friend,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,6-Apr,Twitter,New England,"$25,000-$49,999",Windows Desktop / Laptop,45-60,Male
4/20/22 20:06,4/20/22 20:08,neutral,Yes,Yes,not sure,A language disorder,On TV or in a movie,,No,,,No,,Brain tumor,,,,None,none,South Atlantic,"$100,000-$124,999",Android Phone / Tablet,45-60,Male
4/20/22 20:06,4/20/22 20:08,strongly disagree,Yes,Yes,They have difficulty speaking,A language disorder,I don't recall,,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,None,nursing school,Middle Atlantic,Prefer not to answer,Windows Desktop / Laptop,45-60,Female
4/20/22 20:04,4/20/22 20:06,strongly disagree,Yes,Yes,Can’t remember but I think it’s either difficulty generating words or inability to articulate thoughts,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,6-Apr,Online Medical forum,East North Central,"$125,000-$149,999",iOS Phone / Tablet,30-44,Male
4/20/22 20:04,4/20/22 20:06,strongly disagree,Yes,Yes,Issue communicating with speech,A language disorder,"In a newspaper, magazine or online publication",,No,,,No,Stroke,Brain tumor,Traumatic brain injury,,,3-Jan,Somewhere online,East South Central,Prefer not to answer,iOS Phone / Tablet,30-44,Male
4/20/22 20:05,4/20/22 20:06,somewhat disagree,I don't know,No,,,,,,,,,,,,,,,,West South Central,"$125,000-$149,999",iOS Phone / Tablet,18-29,Male
4/20/22 20:02,4/20/22 20:05,somewhat disagree,Yes,Yes,Never,A circulatory condition,From a doctor,,Yes,1 - 2 years,No,,Stroke,Brain tumor,Traumatic brain injury,,,9-Jul,Alabama,South Atlantic,"$0-$9,999",iOS Phone / Tablet,45-60,Male
