"year","gender","age","q_heard_of","q_own_words","q_describes","q_common_cva","q_intellect","q_first_heard","q_diagnosed","q_how_long_ago","q_know_someone_else","q_know_someone","q_causes_cva","q_causes_tumor","q_causes_tbi","q_causes_heart","q_causes_notsure","q_past_year","q_last_place"
"2016","female","45 to 54","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","45 to 54","Yes",NA,"A language disorder","Yes","Somewhat disagree","I don't recall","No",NA,NA,"Yes","1","1","1","0","0","1 to 3",NA
"2016","male","55 to 64","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"I don't know","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","Yes",NA,"I'm not sure","Yes","Neutral","I don't recall","No",NA,NA,"No","0","0","0","0","1","1 to 3",NA
"2016","male","65 and over","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","Yes","Cannot speak.","A language disorder","Yes","Neutral","Other: My work in the hospital","No",NA,NA,"Yes","1","1","1","0","0","4 to 6","On a ct request diagnostic imaging order."
"2016","female","65 and over","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","Yes","Confused, disoriented, unaware of what's going on. It's a term generally used to define a state of mental confusion,  associated with stroke, brain trauma to name a few","A language disorder","Yes","Strongly disagree","Other: When I had a stroke","Yes","2 - 3 years","I don't know",NA,"1","1","1","0","0","1 to 3","On dr oz, talking about signs of stroke"
"2016","female","25 to 34","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","Yes","procrastination.","A language disorder","Yes","Strongly disagree","In a newspaper, magazine or online publication","No",NA,NA,"I don't know","1","1","1","0","0","None","sympathy symptoms right now actually."
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","Yes","It makes then have low self-esteem and no confidence in themselves due to their looks","A circulatory condition","Yes","Somewhat agree","I don't recall","No",NA,NA,"No","1","1","1","0","0","None",NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"I don't know","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","Yes","Impairment of the power to use words.","A language disorder","Yes","Strongly disagree","I don't recall","No",NA,NA,"No","0","0","1","0","0","None","School"
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","Yes",NA,"A language disorder","Yes","Somewhat disagree","I don't recall","No",NA,NA,"No","1","0","1","0","0","None",NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","Yes","I've heard the word but can't remember exactly what it means but think it has to do with the brain and it affecting your speech.","A language disorder","Yes","Strongly disagree","In a newspaper, magazine or online publication","No",NA,NA,"No","1","1","1","1","0","None",NA
"2016","female","35 to 44","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"I don't know","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","65 and over","No",NA,NA,"Yes","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","Yes",NA,"I'm not sure","Yes","Neutral","On TV or in a movie","No",NA,NA,"No","0","0","0","0","1","4 to 6",NA
"2016","female","25 to 34","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","Yes","Inability to develop language skills","A language disorder","Yes","Strongly agree","Other: At Medical School","No",NA,NA,"Yes","1","0","0","0","0","10 or more","In clinical research publications"
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"No","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","Yes","Can't talk","A language disorder","Yes","Somewhat disagree","On TV or in a movie","No",NA,NA,"No","0","0","0","0","1","1 to 3",NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","Yes","It is hard for someone who has aphasia to formulate words and comprehend them as well because of something in their brain.","A language disorder","Yes","Neutral","Other: Mother","No",NA,NA,"No","0","0","0","0","1","None",NA
"2016","male","55 to 64","Yes","Person with language understanding due to some type of brain injury","A language disorder","Yes","Strongly disagree","I don't recall","No",NA,NA,"No","0","0","1","0","0","1 to 3","TV news"
"2016","male","45 to 54","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"Yes","Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","Yes","A speech condition that affects a person's ability to communicate with others.","A language disorder","Yes","Strongly disagree","From a family member or friend","No",NA,NA,"No","1","1","1","0","0","1 to 3","A rehabilitation hospital that I go to."
"2016","male","55 to 64","Yes","difficulty with speech","A language disorder","Yes","Strongly disagree","From a doctor","No",NA,NA,"Yes","1","0","1","0","0","1 to 3","patient conversation"
"2016","male","55 to 64","Yes","face gets numb","A circulatory condition","Yes","Strongly disagree","On TV or in a movie","No",NA,NA,"No","1","0","0","0","0","1 to 3","movie"
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","55 to 64","Yes",NA,"I'm not sure","Yes","Strongly disagree","I don't recall","No",NA,NA,"No","0","0","0","0","1","None",NA
"2016","male","65 and over","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","65 and over","No",NA,NA,"No","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"I don't know","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"I don't know","Neutral",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","Yes","Language is difficult or impossible. uses pictures","A language disorder","Yes","Somewhat disagree","From a family member or friend","No",NA,NA,"No","1","1","1","0","0","None","From a friend who's brother had it due to a head trauma"
"2016","female","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","35 to 44","No",NA,NA,"No","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","Yes","Unable to verbally express","A language disorder","Yes","Somewhat disagree","Other: Work","No",NA,NA,"No","1","0","0","0","0","None","Work"
"2016","male","45 to 54","Yes","Cannot speak","None of the above","Yes","Strongly disagree","Other: Book","No",NA,NA,"No","1","0","0","0","0","None",NA
"2016","female","35 to 44","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","55 to 64","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","45 to 54","No",NA,NA,"Yes","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","male","35 to 44","No",NA,NA,"Yes","Somewhat disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016","female","25 to 34","Yes","Can't breathe","I'm not sure","Yes","Strongly disagree","On TV or in a movie","No",NA,NA,"No","0","0","0","0","1","None","Tv"
